TML_DTA_SOMM,TML_REGIONE,TML_NUTS,TML_SESSO_M,TML_SESSO_F,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2
2020-12-27,Abruzzo,ITF1,71,64,115,3,2,15,135,0
2020-12-27,Basilicata,ITF5,83,125,208,0,0,0,208,0
2020-12-27,Calabria,ITF6,147,127,272,1,0,1,274,0
2020-12-27,Campania,ITF3,422,297,711,5,0,3,719,0
2020-12-27,Emilia-Romagna,ITH5,372,597,657,1,26,285,969,0
2020-12-27,Friuli Venezia Giulia,ITH4,150,113,260,3,0,0,263,0
2020-12-27,Lazio,ITI4,66,73,139,0,0,0,139,0
2020-12-27,Liguria,ITC3,59,76,102,1,30,2,135,0
2020-12-27,Lombardia,ITC4,457,309,731,20,12,3,766,0
2020-12-27,Marche,ITI3,97,103,188,1,4,7,200,0
2020-12-27,Molise,ITF2,20,30,32,0,17,1,50,0
2020-12-27,P.A. Bolzano,ITH1,65,79,144,0,0,0,144,0
2020-12-27,P.A. Trento,ITH2,39,61,77,3,20,0,100,0
2020-12-27,Piemonte,ITC1,366,542,757,74,76,1,908,0
2020-12-27,Puglia,ITF4,279,276,482,10,62,1,555,0
2020-12-27,Sardegna,ITG2,34,31,65,0,0,0,65,0
2020-12-27,Sicilia,ITG1,55,35,63,1,25,1,90,0
2020-12-27,Toscana,ITI1,267,353,579,11,30,0,620,0
2020-12-27,Umbria,ITI2,76,68,122,5,17,0,144,0
2020-12-27,Valle d'Aosta,ITC2,9,11,20,0,0,0,20,0
2020-12-27,Veneto,ITH3,395,485,878,0,0,2,880,0
2020-12-28,Calabria,ITF6,2,3,5,0,0,0,5,0
2020-12-28,Lazio,ITI4,228,287,514,0,0,1,515,0
2020-12-28,Liguria,ITC3,30,50,79,0,0,1,80,0
2020-12-28,Lombardia,ITC4,171,220,338,37,0,16,391,0
2020-12-28,Sardegna,ITG2,25,40,65,0,0,0,65,0
2020-12-28,Sicilia,ITG1,128,86,212,2,0,0,214,0
2020-12-29,Lazio,ITI4,150,267,417,0,0,0,417,0
2020-12-29,Liguria,ITC3,33,92,97,7,21,0,125,0
2020-12-29,Lombardia,ITC4,172,244,357,53,0,6,416,0
2020-12-29,Sardegna,ITG2,29,21,49,1,0,0,50,0
2020-12-29,Sicilia,ITG1,146,89,235,0,0,0,235,0
2020-12-30,Friuli Venezia Giulia,ITH4,247,384,583,29,0,19,631,0
2020-12-30,Lazio,ITI4,620,975,1572,0,23,0,1595,0
2020-12-30,Liguria,ITC3,5,7,12,0,0,0,12,0
2020-12-30,Lombardia,ITC4,44,84,118,7,0,3,128,0
2020-12-30,Marche,ITI3,5,12,14,3,0,0,17,0
2020-12-30,P.A. Bolzano,ITH1,163,220,343,39,0,1,383,0
2020-12-30,Piemonte,ITC1,320,404,680,44,0,0,724,0
2020-12-30,Sicilia,ITG1,142,97,218,9,0,12,239,0
2020-12-30,Toscana,ITI1,96,206,34,6,262,0,302,0
2020-12-30,Veneto,ITH3,245,453,615,12,39,32,698,0
2020-12-31,Campania,ITF3,808,679,1331,141,1,14,1487,0
2020-12-31,Emilia-Romagna,ITH5,742,1362,1483,29,299,293,2104,0
2020-12-31,Friuli Venezia Giulia,ITH4,384,669,967,42,0,44,1053,0
2020-12-31,Lazio,ITI4,2086,3116,4911,0,279,12,5202,0
2020-12-31,Liguria,ITC3,341,594,730,16,183,6,935,0
2020-12-31,Lombardia,ITC4,290,423,687,26,0,0,713,0
2020-12-31,Marche,ITI3,173,211,371,13,0,0,384,0
2020-12-31,P.A. Bolzano,ITH1,203,241,371,55,0,18,444,0
2020-12-31,P.A. Trento,ITH2,423,1071,811,100,581,2,1494,0
2020-12-31,Piemonte,ITC1,1310,2518,3342,352,133,1,3828,0
2020-12-31,Puglia,ITF4,618,656,1202,56,16,0,1274,0
2020-12-31,Sardegna,ITG2,16,16,27,4,0,1,32,0
2020-12-31,Sicilia,ITG1,481,414,844,6,0,45,895,0
2020-12-31,Toscana,ITI1,188,573,97,4,660,0,761,0
2020-12-31,Umbria,ITI2,89,162,250,1,0,0,251,0
2020-12-31,Valle d'Aosta,ITC2,4,14,18,0,0,0,18,0
2020-12-31,Veneto,ITH3,1039,2166,2850,84,251,20,3205,0
2021-01-01,Campania,ITF3,505,412,841,74,0,2,917,0
